"Location","Amount",""
"Oahu","3500",""
"Oahu","4144.88",""
"Oahu","1300",""
"Oahu","5000",""
"Oahu","25000",""
"International","2755",""
"Oahu","7500",""
"Oahu","2450",""
"Oahu","2499",""
"Oahu","25000",""
"Oahu","5000",""
"Oahu","25000",""
"Oahu","650",""
"Oahu","1000",""
"Oahu","2500",""
"Oahu","1500",""
"Oahu","130000",""
"Oahu","130000",""
"Hawaii","135410",""
"Hawaii","127410",""
"Maui","2000",""
"Continent","5200",""
"Oahu","800",""
"Molokai","7566",""
"Statewide","830000",""
"Hawaii","7000",""
"Hawaii","4000",""
"Hawaii","5000",""
"Oahu","5000",""
"Hawaii","5000",""
"Molokai","50000",""
"Maui","3000",""
"Maui","10000",""
"Maui","10000",""
"Maui","9000",""
"Hawaii","5600",""
"Molokai","9000",""
"Molokai","8500",""
"Kauai","9000",""
"Hawaii","5000",""
"Maui","7500",""
"Maui","4100",""
"Oahu","10000",""
"Oahu","7700",""
"Oahu","6000",""
"Oahu","7000",""
"Maui","4000",""
"Oahu","5000",""
"Oahu","5000",""
"Kauai","5000",""
"Oahu","6000",""
"Maui","10000",""
"Kauai","4000",""
"Hawaii","7500",""
"Hawaii","3000",""
"Molokai","8200",""
"Molokai","6000",""
"Oahu","7600",""
"Oahu","9000",""
"Hawaii","5000",""
"Oahu","10000",""
"Oahu","5090",""
"Kauai","3610",""
"Oahu","9500",""
"Oahu","3000",""
"Molokai","8000",""
"Oahu","3000",""
"Oahu","5300",""
"Oahu","6000",""
"Hawaii","6210",""
"Hawaii","5500",""
"Hawaii","5500",""
"Oahu","10000",""
"Oahu","7000",""
"Oahu","8000",""
"Kauai","10000",""
"Maui","5000",""
"Maui","5000",""
"Maui","5000",""
"Maui","9990",""
"Oahu","10000",""
"Oahu","10000",""
"Molokai","5000",""
"Molokai","4000",""
"Molokai","6500",""
"Hawaii","5000",""
"Multiple","4000",""
"Oahu","9000",""
"Oahu","8000",""
"Kauai","7000",""
"Hawaii","5000",""
"Oahu","10000",""
"Molokai","10000",""
"Oahu","3000",""
"Oahu","10000",""
"Oahu","6600",""
"Oahu","7000",""
"Oahu","10000",""
"Hawaii","4000",""
"Molokai","7400",""
"Oahu","5500",""
"Maui","5000",""
"Maui","4000",""
"Maui","6000",""
"Oahu","5000",""
"Oahu","5000",""
"Oahu","5500",""
"Hawaii","10000",""
"Oahu","8000",""
"Oahu","1000",""
"Oahu","3000",""
"Oahu","10000",""
"Maui","5000",""
"Oahu","10000",""
"Oahu","8000",""
"Oahu","8000",""
"Molokai","90000",""
"Statewide","250000",""
"Statewide","250000",""
"Hawaii","125000",""
"Hawaii","125000",""
"Hawaii","89000",""
"Hawaii","204455",""
"Statewide","24550",""
"Statewide","224095",""
"Hawaii","39452",""
"Hawaii","6575",""
"Oahu","180000",""
"Oahu","88000",""
"Kauai","150000",""
"Kauai","100000",""
"Statewide","114327",""
"Statewide","114327",""
"Hawaii","200000",""
"Molokai","142785",""
"Molokai","147215",""
"Statewide","135804",""
"Hawaii","120000",""
"Hawaii","80000",""
"Hawaii","103800",""
"Hawaii","102968",""
"Oahu","218855",""
"Statewide","896232",""
"Oahu","8800",""
"Statewide","187000",""
"Oahu","30000",""
"Oahu","33000",""
"Statewide","2598000",""
"Oahu","15000",""
"Oahu","25000",""
"Oahu","25000",""
"Oahu","25000",""
"Statewide","250000",""
"Oahu","10000",""
"Statewide","1500000",""
"Multiple","6000",""
"Oahu","7000",""
"Hawaii","150000",""
"Hawaii","64343",""
"Oahu","150000",""
"Statewide","67400",""
"Oahu","20000",""
"Statewide","48257",""
"Statewide","226500",""
"Hawaii","7000",""
"Kauai","5000",""
"Maui","7000",""
"Hawaii","5000",""
"Oahu","7000",""
"Hawaii","8000",""
"Molokai","6000",""
"Hawaii","6500",""
"Molokai","7000",""
"Oahu","7000",""
"Oahu","5000",""
"Maui","7000",""
"Maui","8000",""
"Oahu","10000",""
"Molokai","6000",""
"Oahu","6000",""
"Hawaii","6000",""
"Oahu","5000",""
"Hawaii","2300",""
"Oahu","6500",""
"Oahu","5000",""
"Multiple","236975",""
"Maui","184000",""
"Oahu","89030",""
"Maui","219995",""
"Oahu","33000",""
"Statewide","100000",""
"Statewide","250000",""
"Hawaii","115000",""
"Oahu","180000",""
"Oahu","143000",""
"Molokai","135256",""
"Oahu","112000",""
"Maui","190000",""
"Kauai","38000",""
"Oahu","597468",""
"Oahu","7000",""
"Maui","6500",""
"Statewide","265059",""
"Statewide","16675",""
"Statewide","174390",""
"Statewide","3000000",""
"Oahu","261500",""
"Hawaii","221550",""
"Maui","175000",""
"Hawaii","10000",""
"Hawaii","6500",""
"Molokai","100000",""
"Oahu","121700",""
"Oahu","100000",""
"Statewide","100000",""
"Maui","78300",""
"Statewide","50000",""
"Kauai","13500",""
"Hawaii","500000",""
"Hawaii","8000",""
"Maui","9700",""
"Oahu","7000",""
"Oahu","3500",""
"Hawaii","25000",""
"Oahu","4950",""
"Oahu","10000",""
"Oahu","3500",""
"Oahu","1000",""
"Oahu","5000",""
"Continent","1500",""
"Continent","1000",""
"Continent","1000",""
"Polynesia","10000",""
"Hawaii","1000",""
"Hawaii","5000",""
"Oahu","1000",""
"Oahu","1000",""
"Oahu","1000",""
"Molokai","10000",""
"Oahu","1000",""
"Molokai","1250",""
"Oahu","2500",""
"Continent","500",""
"Oahu","1500",""
"Continent","1500",""
"Continent","5000",""
"Continent","5000",""
"Oahu","10000",""
"Maui","10000",""
"Statewide","20000",""
"Continent","5000",""
"Continent","2500",""
"Continent","5000",""
"Continent","10000",""
"Statewide","20000",""
"Continent","2500",""
"Continent","5000",""
"Oahu","10000",""
"Continent","25000",""
"Oahu","1000",""
"Oahu","25000",""
"Oahu","1600",""
"Oahu","3000",""
"Oahu","200",""
"Continent","4500",""
"Polynesia","6900",""
"Continent","2000",""
"Oahu","5000",""
"Statewide","23913",""
"Continent","4000",""
"Continent","2650",""
"Molokai","750",""
"Oahu","10000",""
"Oahu","10000",""
"Hawaii","2000",""
"Hawaii","2000",""
"Statewide","18860",""
"Oahu","750",""
"Statewide","4999.99",""
"Statewide","10000",""
"Oahu","1750",""
"Statewide","22180",""
