"Grant Type","Amount"
"Sponsorship","2500"
"Sponsorship","1000"
"Sponsorship","1000"
"Sponsorship","24999"
"Sponsorship","2500"
"Sponsorship","1500"
"Sponsorship","25000"
"Sponsorship","25000"
"Sponsorship","13000"
"Sponsorship","13000"
"Sponsorship","25000"
"Sponsorship","25000"
"Sponsorship","22180"
"Sponsorship","1000"
"Sponsorship","15950"
"Sponsorship","17000"
"BOT Initiative","100000"
"Sponsorship","25000"
"Sponsorship","500"
"Sponsorship","1972"
"Sponsorship","25000"
"Sponsorship","7515"
"Sponsorship","5000"
"Sponsorship","7671"
"Sponsorship","3500"
"Sponsorship","4144.88"
"Sponsorship","1300"
"Sponsorship","5000"
"Sponsorship","25000"
"Sponsorship","2755"
"Sponsorship","7500"
"Sponsorship","2450"
"Sponsorship","2499"
"Sponsorship","25000"
"Sponsorship","5000"
"Sponsorship","25000"
"Sponsorship","650"
"Sponsorship","1000"
"Sponsorship","2500"
"Sponsorship","1500"
"Community Grant","130000"
"Community Grant","130000"
"Community Grant","135410"
"Community Grant","127410"
"Sponsorship","2000"
"Sponsorship","5200"
"Sponsorship","800"
"Ahahui","7566"
"BOT Initiative","830000"
"Ahahui","7000"
"Ahahui","4000"
"Ahahui","5000"
"Ahahui","5000"
"Ahahui","5000"
"BOT Initiative","50000"
"Ahahui","3000"
"Ahahui","10000"
"Ahahui","10000"
"Ahahui","9000"
"Ahahui","5600"
"Ahahui","9000"
"Ahahui","8500"
"Ahahui","9000"
"Ahahui","5000"
"Ahahui","7500"
"Ahahui","4100"
"Ahahui","10000"
"Ahahui","7700"
"Ahahui","6000"
"Ahahui","7000"
"Ahahui","4000"
"Ahahui","5000"
"Ahahui","5000"
"Ahahui","5000"
"Ahahui","6000"
"Ahahui","10000"
"Ahahui","4000"
"Ahahui","7500"
"Ahahui","3000"
"Ahahui","8200"
"Ahahui","6000"
"Ahahui","7600"
"Ahahui","9000"
"Ahahui","5000"
"Ahahui","10000"
"Ahahui","5090"
"Ahahui","3610"
"Ahahui","9500"
"Ahahui","3000"
"Ahahui","8000"
"Ahahui","3000"
"Ahahui","5300"
"Ahahui","6000"
"Ahahui","6210"
"Ahahui","5500"
"Ahahui","5500"
"Ahahui","10000"
"Ahahui","7000"
"Ahahui","8000"
"Ahahui","10000"
"Ahahui","5000"
"Ahahui","5000"
"Ahahui","5000"
"Ahahui","9990"
"Ahahui","10000"
"Ahahui","10000"
"Ahahui","5000"
"Ahahui","4000"
"Ahahui","6500"
"Ahahui","5000"
"Ahahui","4000"
"Ahahui","9000"
"Ahahui","8000"
"Ahahui","7000"
"Ahahui","5000"
"Ahahui","10000"
"Ahahui","10000"
"Ahahui","3000"
"Ahahui","10000"
"Ahahui","6600"
"Ahahui","7000"
"Ahahui","10000"
"Ahahui","4000"
"Ahahui","7400"
"Ahahui","5500"
"Ahahui","5000"
"Ahahui","4000"
"Ahahui","6000"
"Ahahui","5000"
"Ahahui","5000"
"Ahahui","5500"
"Ahahui","10000"
"Ahahui","8000"
"Ahahui","1000"
"Ahahui","3000"
"Ahahui","10000"
"Ahahui","5000"
"Ahahui","10000"
"Ahahui","8000"
"Ahahui","8000"
"BOT Initiative","90000"
"BOT Initiative","250000"
"BOT Initiative","250000"
"Community Grant","125000"
"Community Grant","125000"
"Community Grant","89000"
"Community Grant","204455"
"Community Grant","24550"
"Community Grant","224095"
"Community Grant","39452"
"Community Grant","6575"
"Community Grant","180000"
"Community Grant","88000"
"Community Grant","150000"
"Community Grant","100000"
"Community Grant","114327"
"Community Grant","114327"
"BOT Initiative","200000"
"Community Grant","142785"
"Community Grant","147215"
"BOT Initiative","135804"
"Community Grant","120000"
"Community Grant","80000"
"Community Grant","103800"
"Community Grant","102968"
"BOT Initiative","218855"
"BOT Initiative","896232"
"Ahahui","8800"
"BOT Initiative","187000"
"BOT Initiative","30000"
"BOT Initiative","33000"
"BOT Initiative","2598000"
"Sponsorship","15000"
"Sponsorship","25000"
"Sponsorship","25000"
"Sponsorship","25000"
"BOT Initiative","250000"
"Sponsorship","10000"
"BOT Initiative","1500000"
"Ahahui","6000"
"Ahahui","7000"
"Community Grant","150000"
"Community Grant","64343"
"Community Grant","150000"
"Community Grant","67400"
"Community Grant","20000"
"Community Grant","48257"
"BOT Initiative","226500"
"Ahahui","7000"
"Ahahui","5000"
"Ahahui","7000"
"Ahahui","5000"
"Ahahui","7000"
"Ahahui","8000"
"Ahahui","6000"
"Ahahui","6500"
"Ahahui","7000"
"Ahahui","7000"
"Ahahui","5000"
"Ahahui","7000"
"Ahahui","8000"
"Ahahui","10000"
"Ahahui","6000"
"Ahahui","6000"
"Ahahui","6000"
"Ahahui","5000"
"Ahahui","2300"
"Ahahui","6500"
"Ahahui","5000"
"Community Grant","236975"
"Community Grant","184000"
"Community Grant","89030"
"Community Grant","219995"
"BOT Initiative","33000"
"BOT Initiative","100000"
"BOT Initiative","250000"
"Community Grant","115000"
"Community Grant","180000"
"Community Grant","143000"
"Community Grant","135256"
"Community Grant","112000"
"Community Grant","190000"
"BOT Initiative","38000"
"BOT Initiative","597468"
"Ahahui","7000"
"Ahahui","6500"
"Community Grant","265059"
"Community Grant","16675"
"Community Grant","174390"
"BOT Initiative","3000000"
"Community Grant","261500"
"Community Grant","221550"
"Community Grant","175000"
"Ahahui","10000"
"Ahahui","6500"
"Community Grant","100000"
"Community Grant","121700"
"Community Grant","100000"
"Community Grant","100000"
"Community Grant","78300"
"BOT Initiative","50000"
"BOT Initiative","13500"
"BOT Initiative","500000"
"Ahahui","8000"
"Ahahui","9700"
"Ahahui","7000"
"Sponsorship","3500"
"Sponsorship","25000"
"Sponsorship","4950"
"Sponsorship","10000"
"Sponsorship","3500"
"Sponsorship","1000"
"Sponsorship","5000"
"Sponsorship","1500"
"Sponsorship","1000"
"Sponsorship","1000"
"Sponsorship","10000"
"Sponsorship","1000"
"Sponsorship","5000"
"Sponsorship","1000"
"Sponsorship","1000"
"Sponsorship","1000"
"Sponsorship","10000"
"Sponsorship","1000"
"Sponsorship","1250"
"Sponsorship","2500"
"Sponsorship","500"
"Sponsorship","1500"
"Sponsorship","1500"
"Sponsorship","5000"
"Sponsorship","5000"
"Sponsorship","10000"
"Sponsorship","10000"
"Sponsorship","20000"
"Sponsorship","5000"
"Sponsorship","2500"
"Sponsorship","5000"
"Sponsorship","10000"
"Sponsorship","20000"
"Sponsorship","2500"
"Sponsorship","5000"
"Sponsorship","10000"
"Sponsorship","25000"
"Sponsorship","1000"
"Sponsorship","25000"
"Sponsorship","1600"
"Sponsorship","3000"
"Sponsorship","200"
"Sponsorship","4500"
"Sponsorship","6900"
"Sponsorship","2000"
"Sponsorship","5000"
"Sponsorship","23913"
"Sponsorship","4000"
"Sponsorship","2650"
"Sponsorship","750"
"Sponsorship","10000"
"Sponsorship","10000"
"Sponsorship","2000"
"Sponsorship","2000"
"Sponsorship","18860"
"Sponsorship","750"
"Sponsorship","4999.99"
"Sponsorship","10000"
"Sponsorship","1750"
"Sponsorship","22180"
